"firstName","lastName","email","password","userName","profileImageUrl","headline","location","skills","education","experience"
"Aditya","Kapoor","aditya.kapoorkwxi@example.com","tJECIXaQpo@1a","akapoorkwxi","","","","","",""
"Krishna","Shah","krishna.shahoets@example.com","JnwZVsz32D@1a","kshahoets","","","","","",""
"Krishna","Desai","krishna.desaitdqc@example.com","0zBQ59hvPq@1a","kdesaitdqc","","","","","",""
"Aditya","Kumar","aditya.kumarlkpr@example.com","YR9Ve2OtCU@1a","akumarlkpr","","","","","",""
"Ananya","Rao","ananya.raojutf@example.com","jrGOPH1I4T@1a","araojutf","","","","","",""
"Krishna","Bhat","krishna.bhattzji@example.com","2PfkIp0zTw@1a","kbhattzji","","","","","",""
"Priya","Kapoor","priya.kapoorrxzp@example.com","v9ENxp2Cbq@1a","pkapoorrxzp","","","","","",""
"Aarav","Kumar","aarav.kumarrniz@example.com","I7ZvHlAyYd@1a","akumarrniz","","","","","",""
"Isha","Bhat","isha.bhatimuc@example.com","PqT7LavYBs@1a","ibhatimuc","","","","","",""
"Aarav","Singh","aarav.singhxqta@example.com","kVKaxnOUjw@1a","asinghxqta","","","","","",""
"Maya","Patel","maya.patelhgac@example.com","quUVMs0wKk@1a","mpatelhgac","https://randomuser.me/api/portraits/women/4.jpg","developer","India","[ ""GraphQL"", ""AWS"", ""Go"", ""Azure"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""NIT Surat"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""Innova Solutions"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Backend Engineer"" }"
"Krishna","Bhat","krishna.bhatwkpe@example.com","5emlo4ic2S@1a","kbhatwkpe","https://randomuser.me/api/portraits/men/82.jpg","developer","India","[ ""Docker"", ""JavaScript"", ""Django"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""BITS Pilani"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""Innova Solutions"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Backend Engineer"" }"
"Ananya","Singh","ananya.singhhygl@example.com","mTcVn2OJ1y@1a","asinghhygl","https://randomuser.me/api/portraits/men/18.jpg","developer","India","[ ""Python"", ""C#"", ""Next.js"", ""React"", ""Azure"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""IIT Delhi"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""DataSense"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Software Engineer"" }"
"Vivaan","Kumar","vivaan.kumardcxj@example.com","2Tw09pVEhj@1a","vkumardcxj","https://randomuser.me/api/portraits/women/50.jpg","developer","India","[ ""Python"", ""AWS"", ""TypeScript"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""NIT Surat"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""DataSense"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Frontend Engineer"" }"
"Priya","Kapoor","priya.kapoorvlho@example.com","YHthoxcaCr@1a","pkapoorvlho","https://randomuser.me/api/portraits/men/97.jpg","developer","India","[ ""MongoDB"", ""Flask"", ""Java"", ""AWS"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""Delhi University"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""OpenEdge"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Frontend Engineer"" }"
"Ananya","Mehta","ananya.mehtaohuv@example.com","6hfrUPLeOx@1a","amehtaohuv","https://randomuser.me/api/portraits/men/13.jpg","developer","India","[ ""Go"", ""GraphQL"", ""Docker"", ""Kubernetes"", ""Express"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""IIT Kharagpur"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""Webline"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Frontend Engineer"" }"
"Krishna","Joshi","krishna.joshiekya@example.com","w4987YanpH@1a","kjoshiekya","https://randomuser.me/api/portraits/women/50.jpg","developer","India","[ ""Go"", ""TypeScript"", ""AWS"", ""Flask"", ""Django"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""IIT Bombay"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""Techify Labs"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Frontend Engineer"" }"
"Isha","Mehta","isha.mehtalkgd@example.com","8y0hW1GJYu@1a","imehtalkgd","https://randomuser.me/api/portraits/women/55.jpg","developer","India","[ ""TypeScript"", ""Go"", ""Express"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""SVNIT"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""Innova Solutions"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Backend Engineer"" }"
"Arjun","Kapoor","arjun.kapooroqkn@example.com","ouveW5TUH6@1a","akapooroqkn","https://randomuser.me/api/portraits/men/76.jpg","developer","India","[ ""TypeScript"", ""Go"", ""Express"", ""React"", ""PostgreSQL"" ]","{ ""startYear"": 2016, ""endYear"": 2020, ""degree"": ""B.Tech"", ""institution"": ""SVNIT"" }","{ ""startDate"": ""2020-06-01"", ""company"": ""CloudWorks"", ""description"": ""Worked on scalable web applications"", ""endDate"": ""2023-12-31"", ""role"": ""Full Stack Developer"" }"
